MORONUS, BARTHOLOMAEUS	<MORONE, BARTOLOMEO>	Dissertatio de Lecto Padi, a Ticino usque ad Urbem Mantuam
MUSSIS, IOHANNES DE	<MUSSI, GIOVANNI DE’>	Placentinae urbis ac nonnullarum nobilium tum in ea, tum per Italiam familiarum descriptio (Notabilia mundi)
NETTUCCIUS, AUGUSTINUS	<VESPUCCI [NETTUCCI], AGOSTINO>	De situ totius Hispaniae (De situ, longitudine, forma et divisione totius Hispaniae libellus)
NICOLUS [NICOLAI; DE NICOLI], NICOLAUS	<NICCOLI, NICCOLÒ>	Commentarium in peregrinatione Germaniae
NICOLAUS BOTRUNTINENSIS	<NICOLA DI LIGNY>	Relatio de itinere Italico Henrici VII imperatoris
NICOLAUS DE ROSENBERG	<NIKOLAUS VON ROSENBERG>	De situ, moribus et diversitate Scythicarum gentium
ODO DE DIOGILO [DEOGILO]	<EDES DE DEUIL>	De profectione Ludovici VII in Orientem
ODORICUS DE PORTU NAONIS	<ODORICO DA PORDENONE>	Itinerarium (Relatio de mirabilibus orientalium Tatarorum)
OLIVERIUS COLONIENSIS	<OLIVIERO DA COLONIA>	Descriptio Terrae Sanctae
<OPUS SINE AUCTORE>		Chronicon Terrae Sanctae (Libellus de expugnatione Terrae Sanctae per Saladinum)
<OPUS SINE AUCTORE>		De Gallica Petri Damiani profectione et eius ultramontano itinere
<OPUS SINE AUCTORE>		De Hierusalem et de locis sanctis
<OPUS SINE AUCTORE>		De itinere Frisorum
<OPUS SINE AUCTORE>		De loci Goslariensis fundatione
<OPUS SINE AUCTORE>		De locis sanctis martyrum quae sunt foris civitatis Romae
<OPUS SINE AUCTORE>		De rebus naturalibus et curiositatibus Terrae Sanctae
<OPUS SINE AUCTORE>		De situ Albanie
<OPUS SINE AUCTORE>		De situ Brecheniauc
<OPUS SINE AUCTORE>		De situ urbis Hierusalem (Descriptio locorum sanctorum circa Hierusalem adiacentium)
<OPUS SINE AUCTORE>		Descriptio Constantinopolis
<OPUS SINE AUCTORE>		Descriptio Europae Orientalis (Proiectum de recuperatione Terrae Sanctae)
<OPUS SINE AUCTORE>		Descriptio Florentinae urbis et reipublicae
<OPUS SINE AUCTORE>		Descriptio Italiae
<OPUS SINE AUCTORE>		Descriptio Marchiae Anconitanae
<OPUS SINE AUCTORE>		Descriptio Northfolchiae
<OPUS SINE AUCTORE>		Descriptio positionis seu situationis monasterii Claraevallensis
<OPUS SINE AUCTORE>		Descriptio regni Cataiae
<OPUS SINE AUCTORE>		Descriptio sanctorum locorum Hierusalem
<OPUS SINE AUCTORE>		Descriptio Terrae Sanctae
<OPUS SINE AUCTORE>		Descriptiones terrarum
<OPUS SINE AUCTORE>		Expositio mappae mundi
<OPUS SINE AUCTORE>		Haec sunt loca que habentur iuxta Hierosolimam commemoratione digna
<OPUS SINE AUCTORE>		Historia de Hierosolymitano itinere
<OPUS SINE AUCTORE>		Historia peregrinorum (Expeditio Asiatica Friderici Barbarossae)
<OPUS SINE AUCTORE>		Itinerarium ad Terram Sanctam
<OPUS SINE AUCTORE>		Itinerarium Antonini Placentini
<OPUS SINE AUCTORE>		Itinerarium cuiusdam Anglici Terram Sanctam et alia loca sancta visitantis
<OPUS SINE AUCTORE>		Itinerarium de Brugis
<OPUS SINE AUCTORE>		Itinerarium Einsidlense (Itinerarium urbis Romae)
<OPUS SINE AUCTORE>		Liber de existencia rivierarum et forma maris nostri Mediterranei
<OPUS SINE AUCTORE>		Loca et civitates Terrae Sanctae
<OPUS SINE AUCTORE>		Loca sancta visitanda in partibus Ierusalem
<OPUS SINE AUCTORE>		Memoria de illis monasteriis quae sunt in extremis Hierusalem in terra promissionis
<OPUS SINE AUCTORE>		Narratio de itinere navali peregrinorum Hierosolymam tendentium et Silviam capientium
<OPUS SINE AUCTORE>		Narratio itineris navalis ad Terram Sanctam
<OPUS SINE AUCTORE>		Navigatio Sancti Brendani
<OPUS SINE AUCTORE>		Oppositum montem conscendere cernis Orontem (Tractatus de fluvio Oronte)
<OPUS SINE AUCTORE>		Ordinationes loci sancti Salvatoris de Silva lacus fratrum Eremitarum Ordinis Sancti Augustini
<OPUS SINE AUCTORE>		Ordo peregrinationum in Iherusalem
<OPUS SINE AUCTORE>		Peregrinatio Antiochie per Urbanum papam facta
<OPUS SINE AUCTORE>		Peregrinatio et indulgentie Terre Sancte
<OPUS SINE AUCTORE>		Situs orbis terrae vel regionum
<OPUS SINE AUCTORE>		Tractatus de distantiis locorum Terrae Sanctae
ORICELLARIUS, BERNARDUS	<RUCELLAI, BERNARDO>	De urbe Roma liber
PALLADIUS FUSCUS [PALLADIUS NIGER]	<NEGRI, PALLADIO>	De situ orae Illyrici
PANTHEUS, IOHANNES ANTONIUS	<PANTEO, GIOVANNI ANTONIO>	Annotationes ex trium dierum confabulationibus de thermis Caldarianis
PARAVICINUS, PETRUS PAULUS	<PARRAVICINI, PIETRO PAOLO>	De Masinensium et Burmiensium thermarum situ, natura miraculisque
PASCHALIS DE VICTORIA		Epistola de suo in Tartariam itinere
PASINUS, LUDOVICUS	<PASINI, LUDOVICO>	Liber in quo de thermis Patavinis ac quibusdam aliis Italiae balneis tractatur
